Plaintext,Ciphertext,Key,Expected Ciphertext
3a487b0eed8780ec44647fc7e7391a43,5e71d8afe4b63803b466c8717c924bae,0000000000000000000000000000000000000000000000001234567812345678,5e71d8afe4b63803b466c8717c924bae
227d82fd54eb08776480d68bbf5fa000,d3ebddc5c3bd1a43f47d6c21a0defa96,0000000000000000000000000000000000000000000000001234567812345678,d3ebddc5c3bd1a43f47d6c21a0defa96
50fd1d851de15b875558109d5453a500,ade8d1301f706a74eacf4845ef5d0d18,0000000000000000000000000000000000000000000000001234567812345678,ade82c301fb56a742ecf4845ef5d0d8f
49c29d221ebdf436e4de70f7fc41bba0,91e7b76af10a13f1ab41549b1b08753b,0000000000000000000000000000000000000000000000001234567812345678,91e7c56af1b013f1af41549b1b08750b
95466f58ee6889804c2f47c08c3b0d4a,2f1ad14cbc96e3b654fef28159a4d7ef,0000000000000000000000000000000000000000000000001234567812345678,2f1ad14cbc96e3b654fef28159a4d7ef
39fc4d0c96eb236d5660f8970de69c96,cadc43c9377696185a3b95a80d34f7b2,0000000000000000000000000000000000000000000000001234567812345678,cadc43c9377696185a3b95a80d34f7b2
68da2fde05fc8fe61c67e012909308ee,a4379edc4e3b1d6789f94674b758e90a,0000000000000000000000000000000000000000000000001234567812345678,a43708dc4e221d67ebf94674b758e95e
9d4f548d7f505a12b1a6be7b102f03ed,2044d8c35aebb05f98511e7b85c1dc30,0000000000000000000000000000000000000000000000001234567812345678,204460c35a32b05f60511e7b85c1dc4d
4f4a78cf07eafdd15ae95b694fe13528,feee5dfeb65e3962060ca58ec199abd8,0000000000000000000000000000000000000000000000001234567812345678,feee22feb6ee3962930ca58ec199ab46
43f525b8943f26c2ca05cf572db241a2,c2017b4dc3f9490fbf0c0e5fdaac1434,0000000000000000000000000000000000000000000000001234567812345678,c2017b4dc3f9490fbf0c0e5fdaac1434
454902007a5eb106de0de2a8fe437840,8cf2a72f5a00d5f99cfe39f03b407dc1,0000000000000000000000000000000000000000000000001234567812345678,8cf2b12f5a02d5f905fe39f03b407d54
c8ffbfc694bbefa6268d39af64b127ce,6725f6455b684a818e8c9741b0ebbf2f,0000000000000000000000000000000000000000000000001234567812345678,6725ac455bae4a81ef8c9741b0ebbf77
65ceceae6092082e1e5dc05a0cf0bc29,c9de9ae88e6d99440c951920982f92d6,0000000000000000000000000000000000000000000000001234567812345678,c9de9ae88e6d99440c951920982f92d6
2f37c191b8336777fc1ddd50249ffe6b,fa987d47d330a6a7be233013e6b240fc,0000000000000000000000000000000000000000000000001234567812345678,fa987d47d330a6a7be233013e6b240fc
ceee6d8837b0a645cf210f9e4086e56e,e1c9312f4c97a3c9099cdc5414dc5a94,0000000000000000000000000000000000000000000000001234567812345678,e1c9312f4c97a3c9099cdc5414dc5a94
a97a39626993118530c57f35a826ccc2,3e0e09b4fb12e6de7076847233ccc74f,0000000000000000000000000000000000000000000000001234567812345678,3e0e65b4fb67e6deab76847233ccc757
29540f1048a2ee098198771fea9c30a0,f1987db81f7631e96d92263ca9407565,0000000000000000000000000000000000000000000000001234567812345678,f1987db81f7631e96d92263ca9407565
337e73ee26cc42702b1b88ec206f3585,7170c3ec86a5bfe761a02e0ed508b60d,0000000000000000000000000000000000000000000000001234567812345678,717021ec8655bfe7b7a02e0ed508b60f
583bb3ad88bd71c31f3b19d08d828b30,272f77792adf1588ec98695d77121396,0000000000000000000000000000000000000000000000001234567812345678,272fa4792a6415889f98695d77121321
12d18d27b34a59924ae3d37104f624c0,5d18099e02239f52d70421be136ceb1a,0000000000000000000000000000000000000000000000001234567812345678,5d18099e02239f52d70421be136ceb1a
5cdab227e4940e90bbb6becaa9708ef9,3fbbb3572d9ad3beda157b108c8a9299,0000000000000000000000000000000000000000000000001234567812345678,3fbbb3572d9ad3beda157b108c8a9299
d4b0f92118e84a420716f64c4dda3b2c,8d17179851c987ccf8d49af6cca873db,0000000000000000000000000000000000000000000000001234567812345678,8d175298514d87cc9fd49af6cca87362
d2c4d7ddeabad0ef2102e71c9d5b705f,3ab55006a9f95911f499fa335fb12d8d,0000000000000000000000000000000000000000000000001234567812345678,3ab57606a99459115d99fa335fb12de6
55a3141b7856ecd9012ad2b44525455e,fa8dc1b86860791c3a0532b8e4712554,0000000000000000000000000000000000000000000000001234567812345678,fa8dc1b86860791c3a0532b8e4712554
5353425b1f9187c40a41f3aaf12c7df8,3fe877e435b16f35e6f82b3d462f5cf3,0000000000000000000000000000000000000000000000001234567812345678,3fe877e435b16f35e6f82b3d462f5cf3
82658f14385e7547896595c37fff39af,fd225bc67915ae1183dd39a403934efe,0000000000000000000000000000000000000000000000001234567812345678,fd225bc67915ae1183dd39a403934efe
05f4967a10af2a23bf1aed949ccb9e7a,3bda42b942c459fec633fbf570a36091,0000000000000000000000000000000000000000000000001234567812345678,3bda42b942c459fec633fbf570a36091
8fb2be61b4558dae1c4698e887a910bf,75105978b5b50b7b62825bf77c6244ae,0000000000000000000000000000000000000000000000001234567812345678,7510c878b5630b7bd7825bf77c624406
39540397974445701b944637423f936b,3638f072a4463a85ba4387e4d1ea6d8c,0000000000000000000000000000000000000000000000001234567812345678,36381d72a4053a853e4387e4d1ea6d9a
33557829a112e6d490885ca79459b9ad,66d0650f7ff7ca77838e1857ebc8a141,0000000000000000000000000000000000000000000000001234567812345678,66d0650f7ff7ca77838e1857ebc8a141
686990d5334e402cda016e1ac3509ee5,42847dfad6649144cb0f1956b12cd2eb,0000000000000000000000000000000000000000000000001234567812345678,42849afad6c79144170f1956b12cd253
2e7bf9f28fc9a99e2c3d084ab375fa51,18b823eb6419295828b9aae64a34f4b1,0000000000000000000000000000000000000000000000001234567812345678,18b823eb6419295828b9aae64a34f4b1
2d5bcb65c995923f874fdf1cf12a9c59,0760178bfbe772e22d6dc8206580b168,0000000000000000000000000000000000000000000000001234567812345678,0760688bfbbc72e25d6dc8206580b18a
cb7d78f88ae24b71ae168ccb25970e85,28de0aa0bff7e6b61c573b89b7343924,0000000000000000000000000000000000000000000000001234567812345678,28de0aa0bff7e6b61c573b89b7343924
f98a6c34d493907e1cd73ce130c89f2b,2dfd867f1ebf7779b4ffe4e1419a1b9f,0000000000000000000000000000000000000000000000001234567812345678,2dfddc7f1e5677792fffe4e1419a1b12
781c0ab95225eb6a95499231e948cddc,8b011b2eaaac3db8ed0e67a03398eb1e,0000000000000000000000000000000000000000000000001234567812345678,8b011b2eaaac3db8ed0e67a03398eb1e
